name,rating,reviews,phone,address,website,email,secteur_naf,tranche_effectif,dirigeant
Artisan Blanchard,"5,0",14,07 61 71 70 90,417 Rte des Bouygues,https://www.blanchard-couvreur-dordogne.fr/,,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,PANCHADCHARA ELENCHELIAN
JL Bâtiment 24,"5,0",14,07 85 47 74 24,,http://jl-batiment-24.fr/,,70.22Z,non renseigné,JÉRÉMY LESECQ
ATTILA Périgueux,"4,1",14,05 53 08 56 60,10 Rue du Vieux Puits,http://www.attila.fr/nos-agences/attila-perigueux,,94.99Z,non renseigné,
Pro Services,"5,0",14,06 64 80 70 83,,https://www.proservices24.fr/,davidsimon24@icloud.com,82.99Z,non renseigné,
EI Chauvet,"5,0",13,07 49 05 94 61,,,,69.10Z,non renseigné,THOMAS FRANCOIS CHAUVET BORDENAVE (CHAUVET)
Couvreur Offmann Henri 24,"4,2",12,06 29 95 22 59,12 Boul. Charles Garaud,https://www.offmann-couverture-24.fr/,henrioffmann@gmail.com,non trouvé au registre,,
TM 24 - Couverture,"4,6",11,06 45 00 81 81,5 Av. Pierre Brossolette,https://tm24couverture.fr/,tm24couverture@gmail.com,43.91B — Travaux de couverture par éléments,3 à 5 salariés,MIHAI TRIFINOR (TRIFINOR)
Dubois Turban - Couverture et Zinguerie,"3,4",10,05 53 53 30 50,Av. de Borie Marty,https://duboisturban.fr/,,43.91B — Travaux de couverture par éléments,0 salarié,
PR'o Bois 24,"5,0",10,06 03 95 43 86,63 All. de la Chabaudie S,https://probois24.fr/,probois24660@gmail.com,43.91A — Travaux de charpente,non renseigné,FRÉDÉRIC PEYTOUR
Blanchard toiture,"5,0",10,06 41 16 83 90,11 jardin de belle vue,,,81.21Z,non renseigné,ROLAND VIGOUREUX (VIGOUREUX)
Benicourt couvreur toitures,"5,0",9,06 58 83 01 75,Le Puy de Merlande,https://www.couvreuretbatisseur.fr/,benicourt@couvreuretbatisseur.fr,non trouvé au registre,,
Rev Bois Habitat,"4,9",8,06 70 32 82 95,1090 Rte des Sarments,https://www.rev-bois-habitat.com/,,43.91A — Travaux de charpente,1 à 2 salariés,PATRICK REVERDEL (REVERDEL)
Lafleur Josue,"5,0",8,06 27 76 64 20,,https://jlafleur-couverture.fr/,,81.21Z,non renseigné,JOSUE LAFLEUR (LAFLEUR)
Net'ToitureEco,"4,9",8,06 41 54 99 22,Rte du Chambon,https://net-toitureeco.fr/,,non trouvé au registre,,
SASU Yannick Sedran,"4,9",7,06 72 72 52 88,322 Rte des Mésanges,,,non trouvé au registre,,
Carré Couverture Zinguerie,"4,4",7,06 01 01 26 33,,http://www.carrecouverture.com/,carre.matthieu24@hotmail.fr,43.91B — Travaux de couverture par éléments,1 à 2 salariés,MATTHIEU SAMUEL CARRE
SCEP,"3,4",7,05 53 02 82 60,"Zone Artisanale, Rte de Chiezas",https://www.facebook.com/SCEP-Soci%C3%A9t%C3%A9-Couverture-Etanch%C3%A9it%C3%A9-P%C3%A9rigourdine-251644205331132/,,56.10A,6 à 9 salariés,EMELINE AUDREZET (AUDREZET)
Johan Roques artisan couvreur menuisier,"5,0",7,06 50 53 57 67,"551 allée des noyers, Bonnefond",,,non trouvé au registre,,
Blanca Ludovic,"4,8",6,05 53 08 60 41,Les Grandes Terres,,,43.99A,3 à 5 salariés,LUDOVIC BLANCA (BLANCA)
Joseph Bâtiment,"5,0",6,07 76 81 09 21,,https://couvreur-maitre-du-toit.fr/,,43.34Z — Travaux de peinture et vitrerie,1 à 2 salariés,JOSEPH ARMANYOUS (ARMANYOUS)
Dordogne Couverture,"5,0",6,07 68 61 19 68,3 Rue de la Felibree,http://dordognecouverture.fr/,,43.91B — Travaux de couverture par éléments,non renseigné,RUSLAN URSACHI
Home Clean Toiture,"5,0",6,06 52 27 54 61,Le Puy de Merlande,http://homecleantoiture.fr/,,non trouvé au registre,,
Rénov Dordogne,"5,0",6,06 06 84 59 63,Rue du Claud Fardeix,,,43.99C — Travaux de maçonnerie générale et gros œuvre de bâtiment,non renseigné,ABDELHABIB EL AOUADI
ID-Travaux,"4,8",6,06 26 57 98 23,573 routes,https://ldtravaux.fr/,,71.12B,non renseigné,NORA ARIKA (NEHARTI)
Testu Ludovic,"4,7",6,06 33 64 00 73,Le Ladoux,https://www.testu-couverture.fr/,couverturezinguerie@live.fr,43.91B — Travaux de couverture par éléments,3 à 5 salariés,LUDOVIC TESTU (TESTU)
Les Couvreurs du 24,"4,6",5,06 16 29 90 84,Les Rebières,https://www.lescouvreursdu24.fr/,,43.91B — Travaux de couverture par éléments,1 à 2 salariés,TERRY ORESTE RODARO (RODARO)
AMR Eco Construction,"5,0",5,06 74 04 28 09,,http://amrecoconstruction.fr/,,41.10D,non renseigné,ANTHONY ROUBINEAU
Atelier St Joseph,"5,0",5,06 67 89 05 94,Prairie du Lieu Dieu,,,43.91A — Travaux de charpente,1 à 2 salariés,VIANNEY JEAN-MARIE OLIVIER ROUSSEL
CS Gouttière,"5,0",5,06 74 90 93 35,,https://csgouttiere.fr/,Sonny24350@gmail.com,43.91B — Travaux de couverture par éléments,non renseigné,SONNY CASSARD
SCZ,"5,0",5,06 25 72 24 14,Place du 8 juillet,,,68.20B,non renseigné,JEAN-MARC ALAIN JACQUES DUPONT
Spécialiste de la Toiture 24 - Entreprise Michelet,"5,0",4,07 68 81 30 15,"cré@vallée nord, 371 Bd des Saveurs",https://specialiste-de-la-toiture-24.fr/,contact@soscouverture24.fr,non trouvé au registre,,
Delta Toit Périgueux,"5,0",4,06 52 48 65 28,208 Rte de Bordeaux,https://delta-toit.fr/,,non trouvé au registre,,
SAS Rondineau - Couvreur Charpentier,"4,3",4,06 77 26 87 49,,https://rondineau-couverture.fr/,sasurondineau@gmail.com,non trouvé au registre,,
Duverdier Stephane,"5,0",4,05 53 02 50 63,2385 Rte de la Grange Dimière,,,43.91B — Travaux de couverture par éléments,1 à 2 salariés,STEPHANE DUVERDIER (DUVERDIER)
Le Peletier Luc,"4,3",4,,,,,81.21Z,non renseigné,JEAN LUC ISMIN
Bouet Frantz,"4,3",3,05 53 06 05 27,Le Pey de Glâne,,,43.91B — Travaux de couverture par éléments,3 à 5 salariés,FRANTZ BOUET (BOUET)
EURL Sicaire,"5,0",3,06 25 00 91 84,"237 CH DE LA GARENNE, LD",https://eurlsicaire.wixsite.com/couverture,eurlsicaire@gmail.com,non trouvé au registre,,
Catterou Frédéric,"3,7",3,05 53 53 08 49,45 Av. Henri Deluc,http://www.charpentecatterou.fr/,contact@charpentecatterou.fr,43.91A — Travaux de charpente,10 à 19 salariés,FREDERIC CATTEROU (CATTEROU)
Bob Couverture,"5,0",4,06 37 50 07 15,15 Rue du Président René Coty,https://www.facebook.com/profile.php?id=61557370634859,,43.91B — Travaux de couverture par éléments,non renseigné,JEAN CHRISTOPHE PENOT
AAB Travaux,"5,0",2,06 41 52 90 12,,https://www.aab-travaux.fr/,,non trouvé au registre,,
Avatix,"5,0",2,03 70 88 94 97,22 All. des Sarthes,https://avatix.fr/,,81.22Z,1 à 2 salariés,GILLES FRION
SOS Couverture 24,"5,0",2,06 10 17 07 71,5 Laporte,https://www.artisan-couvreur-24.fr/,,non trouvé au registre,,
Da Cruz Guy,"5,0",2,05 53 35 49 88,,,,43.99C — Travaux de maçonnerie générale et gros œuvre de bâtiment,6 à 9 salariés,GUY DA CRUZ (DA CRUZ)
Entreprise J.Lafleur,"5,0",1,05 33 06 46 89,10 Av. de l'Automobile,https://www.entreprise-j-lafleur.fr/,batirenove24@gmail.com,non trouvé au registre,,
Couvreur Périgueux - Dordogne,"5,0",1,05 25 45 04 57,2 Rue Victoria B,https://couvreur-dordogne24.fr/,admin@couvreur-dordogne24.fr,non trouvé au registre,,
GP Couverture Charpente,"5,0",1,06 95 64 03 42,675 Rte de Gavarnie,,,43.91A — Travaux de charpente,non renseigné,LOUCA GADHILE--PARIENTE
Hautier Franck,"5,0",1,06 78 54 18 55,,https://www.hautier-couverture-zinguerie.fr/,,43.91B — Travaux de couverture par éléments,non renseigné,FRANCK EDOUARD HAUTIER (HAUTIER)
Carre Couverture Zinguerie (Beauronne),"5,0",1,05 24 13 10 58,7 Av. de la Beauronne,http://carre-couverture-isolation.fr/,,43.91B — Travaux de couverture par éléments,1 à 2 salariés,MATTHIEU SAMUEL CARRE
Pouvy Rudy,"5,0",1,06 41 97 33 34,3 Rue du Colonel Rossel,,,81.21Z,non renseigné,RUDY POUVY (POUVY)
Pro Toiture - Demoussage - Zingueur,"1,0",1,09 72 15 50 77,,https://pro-toiture.ovh/,,non trouvé au registre,,
Boisseau Patrice,"4,0",1,05 53 09 75 36,42 Rue Edouard Manet,https://www.facebook.com/pages/category/Roofing-Service/Boisseau-Patrice-1921389061505655/,,66.22Z,3 à 5 salariés,PATRICE OLIVIER BOISSEAU
Cassard entreprise,"3,0",2,0 805 01 11 88,,,,43.91B — Travaux de couverture par éléments,non renseigné,LENZO JEAN PAUL SONNY CASSARD (CASSARD)
Entreprise bordas,"3,0",2,06 42 81 03 57,Chemin de maison carré Maison carré sud,,,43.99B,non renseigné,
Catterou Sacha,"1,0",1,09 63 01 28 86,5 Rue du Claud Fardeix,,,43.91A — Travaux de charpente,3 à 5 salariés,SACHA CATTEROU (CATTEROU)
Toiture 24000 Périgueux,Aucun avis,0,,Rue Malesherbes,,,35.11Z,non renseigné,
Toiture 24 Périgueux,Aucun avis,0,05 64 34 03 85,Rue Icarie,,,non trouvé au registre,,
Pro de L'Habitat,Aucun avis,0,05 64 34 02 88,,https://prodelhabitatcouvreurperigueux.fr/,courrier@prodelhabitatcouvreurperigueux.fr,43.29A — Travaux d'isolation,6 à 9 salariés,MARCO RICARDO GOMES DE SA (GOMES DE SA)
Saglam Batiment,Aucun avis,0,06 98 73 10 18,20 Rue Saint-Gervais,https://www.facebook.com/share/18DoyVAvyo/,,43.99C — Travaux de maçonnerie générale et gros œuvre de bâtiment,1 à 2 salariés,AYDIN SAGLAM (SAGLAM)
L'Atelier de Zinguerie,Aucun avis,0,06 72 75 67 09,55 Rue Sainte-Claire,http://www.latelier-de-zinguerie.fr/,,43.91B — Travaux de couverture par éléments,0 salarié,SEBASTIEN VESIN (VESIN)
Green Clean,Aucun avis,0,06 27 61 29 19,234 All. de Saint-Pierre ès Liens,,,81.21Z,1 à 2 salariés,ALEXANDRE PEPPINO SALVATORE LONGO (LONGO)
Artisans Couvreur Zingueur,Aucun avis,0,,110 Rue des Artisans,,,94.11Z,non renseigné,
BJ Renov,Aucun avis,0,06 41 42 82 43,,https://www.bj-renovation24.fr/,,43.99D,3 à 5 salariés,JIMMY BAUMERT (BAUMERT)
Alu Diffusion,Aucun avis,0,05 53 03 71 03,8 Bd de l'Industrie,https://www.isolation-diffusion24.fr/,contact@aludiffusion.com,43.32B,3 à 5 salariés,ALAIN RENE UGAL (UGAL)
Renov Habitat Services,Aucun avis,0,06 27 13 56 87,,,,82.99Z,non renseigné,BRUNO RABANY
BTP Gimenez,Aucun avis,0,06 02 53 06 81,,https://btp-gimenez.fr/,contact@gimenez-btp.fr,43.99C — Travaux de maçonnerie générale et gros œuvre de bâtiment,non renseigné,AHMED EL HAOUHAI LITIM
Les Toits d'Ans,Aucun avis,0,06 07 09 75 46,609 Rte du pays d'ans,,,43.91B — Travaux de couverture par éléments,non renseigné,ARTHUR PETITJEAN PETITJEAN
