nom,note,avis,telephone,adresse,site_web,email,source_email,date_ajout,statut,secteur_naf,tranche_effectif,dirigeant
Dordogne Sanitaire Chauffage Lamblin,4.8,16,06 65 09 03 93,44 Cr Saint-Georges Périgueux 24000,https://dordognesanitairechauffage.surinternet.com,dsc.lamblin@gmail.com,"site web (rendu JS, capture Julien)",2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,1 à 2 salariés,CEDRIC LAMBLIN (LAMBLIN)
Ei Da Costa Cabral,5.0,13,06 19 60 01 73,37 Rte de Jaunour Boulazac 24750,https://www.eidacostacabral.fr/,patrickdacostacabral@gmail.com,mentions légales,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,PATRICK DA COSTA CABRAL (DA COSTA CABRAL)
Alves SARL,5.0,11,05 53 09 89 93,Lieu Dit Boulazac 36 Av. Jean Jaurès 24750,http://www.alves-plombier-chauffage.fr/,,,2026-07-20,À contacter,non trouvé au registre,,
Faure Lavaud Service (FLS),5.0,11,06 37 80 03 51,4 Rte de Cavillac Trélissac 24750,http://facebook.com,contact@faurelavaudservices.fr,Facebook (onglet Coordonnées),2026-07-20,À contacter,non trouvé au registre,,
Amblard Pascal,4.5,10,05 53 08 43 45,5 Chem. de Ligonat Chancelade 24650,,,,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,PASCAL AMBLARD (AMBLARD)
Pierre Aranda,5.0,10,06 14 74 44 48,"13 Imp. Pierre Corneille, Boulazac Isle Manoire 24750",,pierre.0024@hotmail.fr,levraiartisan.fr,2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,1 à 2 salariés,PIERRE JULIEN HENRI ARANDA FREIXAS
Pro Énergie,5.0,10,06 70 00 10 13,"10 Avenue du Maréchal Foch, Coulounieix-Chamiers 24660",https://pro-energie.fr/,sarlproenergie@orange.fr,site web (chauffagiste-viessmann.fr),2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,3 à 5 salariés,RODOLPHE HEBANT (HEBANT)
ASPC PLOMBERIE,5.0,9,06 68 97 81 86,24000,,,,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,
LPC 24 Ladoire Plomberie Chauffage 24,4.3,6,06 12 92 37 26,"7 Imp. du Peladier, Marsac-sur-l'Isle 24430",http://plomberie-chauffage-dordogne.fr,lpc24@orange.fr,site web,2026-07-20,À contacter,non trouvé au registre,,
Air'Eau,4.4,5,06 61 58 27 40,2 Rue Henri Farman Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,43.22B — Travaux d'installation d'équipements thermiques et de climatisation,1 à 2 salariés,CHRISTOPHE PAUL ANDRE CUEGNET (CUEGNET)
Renov 24 Sarl,5.0,4,05 53 46 35 69,36 Av. des Églantiers Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Chaud Froid Confort 24,5.0,1,06 68 73 04 95,3 Espa. Agora Boulazac 24750,https://chaud-froid-confort-24.fr/contact/,chaudfroidconfort24@hotmail.com,site web,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,1 à 2 salariés,GUILLAUME ANDRE (ANDRE)
SLM Plombier Chauffagiste,5.0,1,06 31 37 65 75,24000,,,,2026-07-20,À contacter,43.22A — Travaux d'installation d'eau et de gaz en tous locaux,non renseigné,SEBASTIEN PIERRE ANDRE MASSOUILLER (MASSOUILLER)
Sebastien Lebran plombier chauffagiste,0,0,06 13 99 24 52,11 Rue des Frères Marty Coulounieix-Chamiers 24660,,sl.plombierchauffagiste@gmail.com,annuaire mairie Coulounieix-Chamiers,2026-07-20,À contacter,non trouvé au registre,,
