nom,note,avis,telephone,adresse,site_web,email,source_email,date_ajout,statut,secteur_naf,tranche_effectif,dirigeant
ERELEC,4.5,14,05 53 35 24 63,22 Rue Alfred Nobel Boulazac 24750,http://www.erelec.net/,,aucun,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,20 à 49 salariés,HELDER MARQUES SIMOES
SAS PÉRIG'ABITAT,5.0,14,09 87 77 76 79,47 BIS Av. du Général de Gaulle Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Le Courant de l Isle,5.0,14,06 10 29 13 57,365 Rue du Retz Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Eiffage Énergie Systèmes - Clevia Nouvelle Aquitaine,4.1,12,05 53 03 86 20,"15 rue de la Baillardière, 24650 Chancelade",https://www.eiffageenergiesystemes.com,,aucun,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,500 à 999 salariés (groupe),Groupe Eiffage (multinationale)
JME,4.8,12,05 53 04 16 51,20 Bis Rue des Armagnacs Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,10 à 19 salariés,STEPHANE JOUSSAIN (JOUSSAIN)
AES Energie 24,5.0,12,06 33 27 09 23,Lieu dit La Basse Vaure Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Beauvieux Electricité,4.2,11,05 53 08 96 23,141 TER Rte de Lyon Périgueux 24000,http://www.beauvieux.fr/,electricite@beauvieux.fr,site web,2026-07-20,À contacter,non trouvé au registre,10 à 19 salariés,Paul BEAUVIEUX
ELEC-ENERGIE YANN LE SAINT,5.0,11,05 53 81 28 82,1139 La Gravette ZA Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Doc Habitat Elec,5.0,11,07 81 40 82 82,Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Nunes Pedro,4.6,10,06 81 24 30 66,307 Imp. de la Garelie Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,PEDRO MANUEL NUNES (NUNES)
Polelec,4.2,10,06 43 45 84 80,7 Rue Emile Combes Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
NABOULET ELEC 24,4.6,10,06 52 75 09 92,La Pomarelie Trélissac 24750,https://electricien-perigueux.fr/,nabouletelec24@gmail.com,site web,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,3 à 5 salariés,ARTHUR ELOI NABOULET (NABOULET)
ElectroExpert,5.0,10,,2 Rue du Pot au Lait Périgueux 24000,http://electroexpert.fr/,,aucun,2026-07-20,À contacter,non trouvé au registre,,
Thierry Elec 24,4.5,10,07 66 53 47 66,"le Bourg, 67 Rte d'Aquitaine Coulounieix-Chamiers 24660",,,,2026-07-20,À contacter,non trouvé au registre,,
B Electric,3.6,9,05 53 45 46 20,"ZAE La Font Pinquet, 13 Rue Alphee Mazieras, 24000 Périgueux",,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,20 à 49 salariés,ANTHONY BORDAS
Julien ALLARD ELECTRICITE,5.0,9,06 40 58 57 31,286 Imp. Guillaume Apollinaire Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
EVC Energies,5.0,9,06 50 93 50 88,1017 Rte de Segonzac Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
GM Elec SARL,5.0,8,07 83 37 84 37,13 Av. Jean Jaurès Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
ADF Solutions,5.0,8,06 65 73 90 91,235 Route du Commandant Blanchot Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Cofidur EMS,4.4,8,05 53 35 77 00,15 Av. Firmin Bouvier Boulazac 24750,,,,2026-07-20,À contacter,26.12Z,250 à 499 salariés,NATHALIE LUTZ
Pouzet Elec,5.0,7,05 53 03 49 34,Rue Alain Savary Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,0 salarié,YORIS POUZET (POUZET)
Electricité - Services Périgourdins,5.0,7,06 37 12 24 01,430 All. de la Taillerie Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
DGelec,5.0,6,07 66 92 72 99,37 Rue Nelson Mandela Trélissac 24750,https://dgelec-perigueux.com/,DGelecEntreprise@laposte.net,site web,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,DAVID GRANGE
Dordogne Elec24,5.0,6,06 02 38 83 58,114 Av. Michel Grandou Trélissac 24750,,,,2026-07-20,À contacter,non trouvé au registre,,
Vpelec Eurl Joffrey,4.8,6,05 53 45 88 12,Rte de Landrevie Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Broquet Gilles,5.0,6,05 53 04 16 21,12 Rue Jacques Brel Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Electricité Franck Fressingeas,5.0,5,06 51 84 73 49,7 Av. Jeanne d'Arc Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,FRANCK FRESSINGEAS (FRESSINGEAS)
WorkS ingénierie,4.8,5,05 33 09 31 17,105 Rue Pierre Magne Périgueux 24000,,,,2026-07-20,À contacter,71.12B,non renseigné,NICOLAS MIKAEL SALOMON SILVA (SILVA)
Elecpro24,5.0,5,07 60 34 09 99,9 Rue des Sports Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Sarl Ravalet et Fils Electricité climatisation Chauffage alarme Automatisme,4.0,5,05 53 08 19 36,9 Av. de Borie Marty Boulazac 24750,,,,2026-07-20,À contacter,non trouvé au registre,,
LEFTY BATIMENT,5.0,4,06 74 10 44 84,5 Rue François Mitterrand Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Flash Elec 24,5.0,3,06 81 66 18 28,4 Rue Maréchal Gallieni Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
Elec 24,5.0,3,06 14 78 48 57,3 Rue des Mobiles de Coulmiers Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,3 à 5 salariés,CHRISTOPHE RODE
A.P.A.ELEC,5.0,3,06 60 70 49 08,Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
ATELEC 24,5.0,3,05 53 07 14 92,26 Rte de Blanquet Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
EURL PASQUIE,5.0,2,06 74 60 89 38,14 Chem. de la Seyge Chancelade 24650,http://electricien-chancelade-pasquie-hager.fr/,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,1 à 2 salariés,FREDERIC PASQUIE (PASQUIE)
ÉlecNova24,5.0,2,06 51 15 39 29,5 Rue Gambetta Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
Monprofit Denis,5.0,2,09 62 62 01 04,157 Bis Bd du Petit Change Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,DENIS MONPROFIT (MONPROFIT)
DAEP ÉLECTRICITÉ,5.0,2,07 76 15 30 21,47 Avenue du Général de Gaulle Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
matt élec,5.0,2,06 30 84 84 87,43 Av. Pierre Mendès France Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,MATHIEU CHAUSSAT (CHAUSSAT)
C.Musa - Électricité & Services Bâtiment,5.0,2,06 21 15 50 59,Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Artisan L'Ange 2 Services,5.0,2,07 60 59 05 13,96 Rte de Pommier Boulazac 24330,,,,2026-07-20,À contacter,,,
M.A.T Pro électricité générale,5.0,2,06 09 21 93 46,1 Rue des Apprentis Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
"ELEC-TECH électricité, climatisation, pompe à chaleur",5.0,2,06 88 91 32 35,17 Rte d'Agonac Chancelade 24650,,,,2026-07-20,À contacter,,,
MUSILEC SARL,5.0,2,06 56 89 79 32,101 Av. du Général de Gaulle Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Bost Électricté,5.0,2,07 81 88 66 07,Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,,,
Dordogne Électricité Automatisme,5.0,1,05 53 09 82 46,157 ter Bd du Petit Change Périgueux 24000,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,DENIS MONPROFIT (MONPROFIT)
Innovelec,5.0,1,05 53 50 22 51,4 Cr Fénelon Périgueux 24000,,,,2026-07-20,À contacter,non trouvé au registre,,
AWelec',5.0,1,06 42 03 34 96,26 Rue Ribot Périgueux 24000,,,,2026-07-20,À contacter,,,
EMS,5.0,1,06 88 12 05 59,38 bis Av. Michel Grandou Trélissac 24750,,,,2026-07-20,À contacter,,,
Ogelec,5.0,1,06 08 24 16 65,Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,non trouvé au registre,,
Agence Fauché Périgueux,4.0,1,05 57 26 67 80,440 Bd des Saveurs Boulazac 24750,,,,2026-07-20,À contacter,non trouvé au registre,,
Roy Jean-Michel,0,0,05 53 09 59 90,Rue Charles Schwartz Boulazac 24750,,,,2026-07-20,À contacter,non trouvé au registre,,
Chanc'elec,0,0,06 59 63 14 65,Rue des Libertés Chancelade 24650,,,,2026-07-20,À contacter,non trouvé au registre,,
Thuillier Eric,0,0,05 53 04 74 34,31 Av. Jean Jaurès Chancelade 24650,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,ERIC THUILLIER
NTT Electricité,0,0,06 78 05 02 66,102 rue Henri Dunant Coulounieix-Chamiers 24660,,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,non renseigné,TOKI PIDEMNEWE NIMON (NIMON)
SPIE Industrie et Tertiaire,0,0,05 53 03 09 89,"Bd de la Beauronne, 24430 Marsac-sur-l'Isle",https://www.spie.com,,aucun,2026-07-20,À contacter,non trouvé au registre,20 à 49 salariés,Groupe SPIE (multinationale)
SEIE (Ste d'Equipement et d'Installation Electriques),0,0,05 53 07 04 56,"4 Bd de l'Industrie, 24430 Marsac-sur-l'Isle",,,,2026-07-20,À contacter,43.21A — Travaux d'installation électrique dans tous locaux,10 à 19 salariés,
